Paper_Id,Recency,Spec_P,n_ref,n_cite,degree,Cite_per_paper,Auth_collab,P_index_auth,H_index_auth,CiteScore,Percentile,Percent_Cited,SNIP,SJR
4,0.0285714285714285,0,0,1,1,9.494042232277526,365.0,255.8,14.5,1.11,47.0,45.0,0.876,0.244
16,0.0285714285714285,0,0,2,2,20.898936170212767,358.0,1674.644,34.0,0.24,11.0,17.0,0.237,0.122
18,0.0285714285714285,0,0,3,3,21.08421052631579,350.0,809.81665,15.0,0.24,11.0,17.0,0.237,0.122
20,0.0285714285714285,0,0,1,1,0.0,0.0,0.0,0.0,0.24,11.0,17.0,0.237,0.122
104,0.0285714285714285,0,0,2,2,4.0,8.0,3.25,2.0,0.24,11.0,17.0,0.237,0.122
105,0.0285714285714285,1,0,1,1,2.3703703703703702,27.0,41.9167,4.0,0.24,11.0,17.0,0.237,0.122
106,0.0285714285714285,0,0,2,2,3.1702127659574466,92.0,66.2619,7.0,0.24,11.0,17.0,0.237,0.122
146,0.0285714285714285,0,0,1,1,1.582089552238806,85.0,62.4167,5.0,3.2,83.0,76.0,1.868,0.472
222,0.0285714285714285,0,0,2,2,8.428571428571429,20.0,65.3333,6.0,1.03,43.0,47.0,0.884,0.412
226,0.0285714285714285,0,0,1,1,42.0,0.0,42.0,1.0,1.03,43.0,47.0,0.884,0.412
259,0.0285714285714285,0,0,1,1,26.681159420289852,117.0,782.9667,18.0,0.24,11.0,17.0,0.237,0.122
271,0.0285714285714285,0,0,2,2,1.875,0.0,15.0,3.0,3.76,88.0,76.0,2.251,0.805
273,0.0285714285714285,0,0,3,3,11.324921135646688,573.0,1513.4823,26.0,3.76,88.0,76.0,2.251,0.805
274,0.0285714285714285,1,0,1,1,2.7653149385673657,683.0,76.630825,7.25,3.76,88.0,76.0,2.251,0.805
279,0.0285714285714285,0,0,1,1,15.349056603773583,108.0,948.5,18.0,1.4,54.0,50.0,1.488,0.517
336,0.0285714285714285,1,0,5,5,5.75,4.0,13.0,3.0,3.22,87.0,79.0,1.459,2.489
337,0.0285714285714285,0,0,1,1,19.5,582.0,1411.7293,29.0,3.22,87.0,79.0,1.459,2.489
