paper_id,Recency,Spec_P,n_ref,n_cite,Cite_per_paper,Auth_collab,CiteScore,Percentile,Percent_Cited,SNIP,SJR
4894,0.0303030303030303,1,0,1,3.75,6,3.23,88,81,1.85,2.047
4895,0.0303030303030303,1,0,20,10.25,2,3.23,88,81,1.85,2.047
4896,0.0303030303030303,1,0,5,17.583333333333336,6,3.23,88,81,1.85,2.047
4897,0.0303030303030303,0,0,16,63.0,20,3.23,88,81,1.85,2.047
4898,0.0303030303030303,0,0,8,2.833333333333333,0,3.23,88,81,1.85,2.047
4899,0.0303030303030303,1,0,1,2.0,2,3.23,88,81,1.85,2.047
4903,0.0303030303030303,0,0,1,1.0,0,3.23,88,81,1.85,2.047
4918,0.0303030303030303,0,0,5,15.0,6,3.23,88,81,1.85,2.047
4920,0.0303030303030303,0,0,1,2.25,0,3.23,88,81,1.85,2.047
4921,0.0303030303030303,1,0,4,16.0,12,3.23,88,81,1.85,2.047
4922,0.0303030303030303,0,0,2,2.0,0,3.23,88,81,1.85,2.047
4923,0.0303030303030303,1,0,1,27.66374269005848,71,3.23,88,81,1.85,2.047
4927,0.0303030303030303,0,0,8,11.833333333333332,2,3.23,88,81,1.85,2.047
4928,0.0303030303030303,0,0,1,5.75,7,3.23,88,81,1.85,2.047
4930,0.0303030303030303,0,0,2,2.0,0,3.23,88,81,1.85,2.047
4931,0.0303030303030303,0,0,3,19.833333333333336,6,3.23,88,81,1.85,2.047
4932,0.0303030303030303,1,0,16,13.363636363636363,0,3.23,88,81,1.85,2.047
4937,0.0303030303030303,1,0,1,1.0,0,3.23,88,81,1.85,2.047
4938,0.0303030303030303,1,0,2,4.0,2,3.23,88,81,1.85,2.047
4949,0.0303030303030303,0,0,1,2.090909090909091,0,3.23,88,81,1.85,2.047
5727,0.0303030303030303,0,0,1,2.0,2,3.23,88,81,1.85,2.047
5732,0.0303030303030303,0,0,4,8.076923076923077,2,3.23,88,81,1.85,2.047
5734,0.0303030303030303,1,0,4,6.4,2,3.23,88,81,1.85,2.047
5741,0.0303030303030303,0,0,3,6.5,2,3.23,88,81,1.85,2.047
5742,0.0303030303030303,0,0,1,2.333333333333333,2,3.23,88,81,1.85,2.047
5745,0.0303030303030303,1,0,1,1.0,0,3.23,88,81,1.85,2.047
5747,0.0303030303030303,1,0,1,2.0,2,3.23,88,81,1.85,2.047
5749,0.0303030303030303,1,0,1,1.0,0,3.23,88,81,1.85,2.047
5753,0.0303030303030303,0,0,3,5.5,2,3.23,88,81,1.85,2.047
6321,0.0303030303030303,1,0,8,12.75,2,3.23,88,81,1.85,2.047
6325,0.0303030303030303,1,0,9,4.0,0,3.23,88,81,1.85,2.047
6327,0.0303030303030303,1,0,2,5.2,11,3.23,88,81,1.85,2.047
6328,0.0303030303030303,1,0,4,2.5,2,3.23,88,81,1.85,2.047
6332,0.0303030303030303,0,0,1,11.333333333333334,20,3.23,88,81,1.85,2.047
6333,0.0303030303030303,0,0,1,2.0,2,3.23,88,81,1.85,2.047
6334,0.0303030303030303,1,0,9,7.666666666666667,3,3.23,88,81,1.85,2.047
6335,0.0303030303030303,1,0,11,24.833333333333336,2,3.23,88,81,1.85,2.047
6338,0.0303030303030303,1,0,1,2.0,2,3.23,88,81,1.85,2.047
6343,0.0303030303030303,1,0,2,2.4,1,3.23,88,81,1.85,2.047
6348,0.0303030303030303,0,0,1,1.0,0,3.23,88,81,1.85,2.047
6350,0.0303030303030303,1,0,3,5.0,2,3.23,88,81,1.85,2.047
6352,0.0303030303030303,1,0,2,6.5,2,3.23,88,81,1.85,2.047
6372,0.0303030303030303,0,0,1,4.0,6,3.23,88,81,1.85,2.047
6377,0.0303030303030303,1,0,2,14.214285714285715,2,3.23,88,81,1.85,2.047
6379,0.0303030303030303,0,0,1,3.4285714285714284,0,3.23,88,81,1.85,2.047
6383,0.0303030303030303,1,0,1,4.125,6,3.23,88,81,1.85,2.047
6390,0.0303030303030303,0,0,1,2.5,2,3.23,88,81,1.85,2.047
6394,0.0303030303030303,0,0,2,3.75,2,3.23,88,81,1.85,2.047
6396,0.0303030303030303,1,0,1,2.833333333333333,2,3.23,88,81,1.85,2.047
6397,0.0303030303030303,1,0,6,11.72222222222222,2,3.23,88,81,1.85,2.047
11530,0.0303030303030303,0,0,1,2.0,2,4.8,99,88,2.033,2.883
11534,0.0303030303030303,1,0,23,38.59333333333333,14,4.8,99,88,2.033,2.883
11912,0.0303030303030303,1,0,2,10.0,20,1.87,70,63,0.937,0.604
12710,0.0303030303030303,0,0,2,7.148351648351649,18,4.8,99,88,2.033,2.883
12713,0.0303030303030303,0,0,1,2.25,2,4.8,99,88,2.033,2.883
