Id,modularity class
9565,0
1595,0
29708,1
9570,1
9574,2
29711,3
6685,3
29712,2
5383,2
50500,3
44567,3
50502,3
28020,3
50503,3
19971,3
50505,3
1775,3
9571,4
9576,2
50506,4
3124,4
6220,4
50508,1
51303,2
51304,3
17055,3
61955,3
6211,3
61957,3
29710,3
61960,4
73228,0
73231,4
8236,4
80264,5
80266,4
80277,70
73233,3
47079,3
73234,0
44222,3
59329,0
73236,3
19967,3
40218,3
73237,3
29709,0
59102,3
80258,3
80255,4
34622,4
51302,4
30008,70
80279,4
34620,4
44570,4
44572,4
80280,4
6215,4
84581,4
29707,4
47075,4
84583,4
34621,4
84584,0
50507,0
51305,0
97435,2
97436,3
9567,3
97438,3
36811,3
97439,3
44568,3
61958,4
97440,4
102488,4
133569,3
97444,3
97446,4
97451,3
40223,3
40224,3
62739,3
97453,3
9572,3
97454,4
28023,0
40215,0
97456,4
932,4
100907,0
106257,0
25652,0
32575,7
48421,8
59387,0
106259,4
44571,3
113899,3
34617,3
59317,3
97448,3
128399,9
61959,9
129797,4
2025,4
9573,4
20841,4
34624,4
44569,3
59378,4
130868,3
51300,3
130871,9
142817,3
142820,3
73049,3
142818,3
142824,2
144318,361
97447,0
144319,3
144321,0
28021,0
70627,0
139309,0
144323,3
144325,3
336,3
34619,2
97442,12
178500,8
179119,8
178501,3
157865,3
178502,0
100904,0
137481,0
178503,3
178504,4
6221,4
72113,404
106245,4
179125,2
59311,2
179140,3
51016,3
51299,3
54691,3
59386,3
71852,3
71853,3
84607,3
84610,3
94911,3
179141,4
179142,0
1772,2
183718,3
112796,2
157859,3
183719,0
106246,0
183724,4
50504,0
139123,404
152920,4
157854,4
183726,2
183731,3
157963,3
179133,3
183733,3
183734,3
94912,3
157856,3
183735,4
106247,4
183736,0
3085,0
18675,4
44224,4
47078,0
183737,4
190272,3
132471,3
190275,4
190278,4
89279,4
366800,3
190282,4
59327,4
190285,4
72100,4
912163,4
190288,4
205252,3
106244,3
210629,3
205253,3
132479,3
132481,3
205254,3
164841,3
205255,3
205257,3
92676,3
92677,3
94907,3
157850,3
205259,4
210628,0
210630,3
210632,4
211503,13
248889,13
211507,13
248887,13
248906,13
220404,4
142815,5
220406,3
220409,4
183721,4
220410,3
220411,3
142822,3
224714,361
173381,361
186910,361
452790,361
224716,14
156429,14
175722,14
175723,14
224718,361
452791,361
224720,361
442700,361
452798,361
225874,15
84137,7
375017,15
227365,3
227368,3
227370,0
227374,0
59314,0
107979,0
190518,0
227717,16
442676,361
227718,361
443004,361
227719,70
208383,70
229332,17
131826,17
229334,18
97076,18
229335,19
74371,19
230401,361
442663,361
442704,361
231382,361
442853,361
443064,361
231387,70
158200,70
169921,70
233140,3
59382,3
189905,3
233141,3
911963,3
233142,8
157962,3
233143,0
97450,0
100908,3
197079,4
233145,4
139273,1
233186,13
234804,0
179123,0
234805,70
49958,70
84424,70
234807,4
234808,4
234810,4
235280,361
235282,361
235286,361
235641,361
1114,361
442783,361
235642,361
235643,361
18767,361
41512,361
63292,361
237574,20
204545,20
237579,19
204546,19
204548,19
237580,21
142598,21
237613,22
187310,22
237617,13
237618,13
237700,70
442767,361
237701,361
162304,361
184219,361
442699,361
237702,361
442819,361
237736,361
183436,361
237738,361
237739,14
452792,14
241292,361
241295,361
195335,361
241296,361
204401,361
244998,3
245001,3
244999,4
20844,2
72099,3
93758,3
106253,4
106255,4
164910,3
911964,4
912162,4
245015,13
248888,13
245018,16
187314,16
245020,13
248893,13
246752,361
442706,361
442732,361
246754,70
63291,70
442805,70
246759,23
442830,70
248877,16
248900,13
248894,16
187316,16
248896,24
72146,24
248878,13
248907,16
28888,16
248908,16
250903,25
224355,25
252256,4
252267,4
179122,4
252270,3
252273,3
252277,0
256783,26
167927,26
256785,361
182670,361
212199,361
442703,361
442721,361
256786,7
442765,7
256787,70
183014,70
442692,70
442755,70
258818,8
164695,8
258821,361
175720,361
178638,361
1347416,361
261208,361
155003,361
219483,361
261210,361
159735,361
261278,21
167940,21
261279,21
261282,27
105460,27
264692,361
264693,361
188352,361
264705,361
442970,361
264908,21
79130,21
265119,361
265121,15
183016,15
265124,361
442877,361
265142,28
248891,28
265152,13
248902,13
265170,22
10311,22
1818327,22
265172,22
265182,22
1809023,22
265184,22
265187,22
265189,22
1818273,22
268946,4
57891,0
164964,3
185800,0
216929,4
227372,4
234811,0
268947,3
268948,0
72095,0
162440,0
170220,0
204486,0
268949,0
