Source,Target
2280,3056
3785,9497
54658,11254
54658,48384
3005,3004
3005,33241
61223,19067
61223,18360
61223,25667
61223,39391
61223,39400
61223,41598
61223,48550
61223,49868
61223,59744
41939,5566
41939,65013
56720,926
56720,65580
39154,27808
35367,4981
35367,17014
35367,24074
35367,27071
35367,27070
35367,36847
35367,40221
35367,50439
35367,63324
35367,63323
35367,64790
31858,22542
25515,10660
25515,11029
12995,19802
12995,22570
12995,59146
12562,1875
12562,12561
12562,36580
12562,41904
12562,49521
37220,2913
37220,17980
37220,33194
37220,37213
37220,49473
37220,52091
37220,53114
37220,63714
26759,16014
26759,20209
26759,22994
26759,26757
26759,48978
64631,2619
64631,50380
64631,64630
53873,4904
53873,32137
53873,49482
53873,55418
44542,18396
33276,27405
62895,2365
62895,25135
62895,62894
38073,721
38073,718
38073,1881
38073,13741
38073,17509
38073,53834
31916,7753
31916,7818
31916,8817
31916,9556
32366,2885
32366,20101
32366,28007
32366,50863
40636,6666
40636,15347
40636,34768
40636,52932
40636,56711
40636,58235
40636,59023
40636,59422
28642,4821
28642,18684
28642,28311
28642,28638
28642,28637
28642,64189
57363,11800
57363,14281
57363,48345
57363,60851
57363,61709
49714,49712
49714,49713
38333,21160
38333,60775
8047,52561
28575,26447
28575,26448
28575,56713
28575,56711
17748,9114
17748,14325
17748,17743
17748,17742
17748,17741
17748,18550
17748,53687
51351,56064
51351,58406
11019,27261
11019,33602
24187,24186
17013,19997
17013,35344
45357,11255
45357,35900
45357,45130
45357,47186
18880,1595
18880,27281
18880,48109
18880,56600
18880,64896
60327,28750
60327,54211
60327,54265
60327,65664
37334,11426
37334,16469
37334,35443
37334,64378
60496,18625
60496,21482
60496,37391
60496,38591
60496,57685
60496,60642
36643,2065
36643,6879
36643,10044
36643,10043
36643,10045
36643,14837
36643,15236
36643,16524
36643,57607
36643,62455
1300,151
1300,59693
1300,59875
48307,34526
48307,64166
6059,39105
6059,51065
23602,20919
21391,1911
21391,3061
21391,6844
21391,33894
21391,35245
21391,53244
57197,9890
57197,13810
57197,31100
57197,39906
57197,56450
30578,37573
30578,44334
58799,716
58799,2254
58799,2605
58799,7498
58799,22215
58799,22240
58799,40134
58799,9993
58799,9994
58799,42215
58799,54531
58799,54578
58799,58797
58799,63897
58799,63903
4595,16182
42793,26230
41835,33198
2256,56763
15597,55217
15597,60073
15597,62442
25766,2692
