paper_id,Recency,Spec_P,n_ref,n_cite,Cite_per_paper,Auth_collab,CiteScore,Percentile,Percent_Cited,SNIP,SJR
26294,0.0769230769230769,1,3,1,3.4285714285714284,7.0,3.23,88.0,81.0,1.85,2.047
19657,0.1666666666666666,0,10,1,0.8333333333333334,2.333333333333333,3.23,88.0,81.0,1.85,2.047
17332,0.0416666666666666,1,1,22,43.0,4.666666666666667,3.23,88.0,81.0,1.85,2.047
23587,0.0769230769230769,1,2,1,1.182471264367816,37.5,1.59,65.0,65.0,0.772,0.474
16224,0.0666666666666666,1,1,1,2.0673076923076925,20.5,1.87,70.0,63.0,0.937,0.604
34637,0.2,0,4,0,0.5,1.5,1.23,52.0,54.0,0.458,0.36
12551,0.2,1,7,0,1.0,7.666666666666667,4.8,99.0,88.0,2.033,2.883
32415,0.0476190476190476,1,5,4,2.333333333333333,2.0,4.8,99.0,88.0,2.033,2.883
11740,0.0526315789473684,1,1,7,8.625,7.0,1.59,65.0,65.0,0.772,0.474
16915,0.0526315789473684,0,0,1,1.2901785714285714,29.166666666666668,1.87,70.0,63.0,0.937,0.604
20787,0.0588235294117647,0,1,1,1.7675213675213677,24.933333333333334,1.87,70.0,63.0,0.937,0.604
15802,0.0909090909090909,0,4,0,0.9583333333333334,14.666666666666666,1.05,50.0,55.0,0.848,0.267
29780,0.0294117647058823,1,2,3,4.809523809523809,5.5,4.8,99.0,88.0,2.033,2.883
13846,0.0666666666666666,1,0,3,1.768333333333333,34.75,1.87,70.0,63.0,0.937,0.604
44323,0.2,1,1,0,0.7074074074074074,17.166666666666668,2.34,92.0,68.0,0.958,0.708
2808,0.0666666666666666,0,6,0,0.8333333333333334,3.0,3.23,88.0,81.0,1.85,2.047
28426,0.0769230769230769,0,2,0,0.0,1.0,3.23,88.0,81.0,1.85,2.047
12237,0.03125,0,6,4,7.357142857142857,4.5,3.23,88.0,81.0,1.85,2.047
9325,0.125,1,8,2,0.8333333333333334,22.8,3.23,88.0,81.0,1.85,2.047
2985,0.0769230769230769,1,2,4,2.7333333333333334,93.0,3.23,88.0,81.0,1.85,2.047
3959,0.0454545454545454,0,1,0,8.608695652173914,22.5,3.23,88.0,81.0,1.85,2.047
37756,0.0416666666666666,1,0,1,1.0,9.7,1.87,70.0,63.0,0.937,0.604
19755,0.0909090909090909,0,1,9,4.84375,28.875,1.59,65.0,65.0,0.772,0.474
30663,0.0833333333333333,1,4,2,2.909090909090909,14.0,4.8,99.0,88.0,2.033,2.883
12231,0.0344827586206896,1,0,13,5.4444444444444455,18.83333333333333,3.23,88.0,81.0,1.85,2.047
40433,0.0416666666666666,1,4,0,2.2857142857142856,9.0,1.59,65.0,65.0,0.772,0.474
25325,0.0294117647058823,0,0,1,1.0,1.0,3.23,88.0,81.0,1.85,2.047
1400,0.1666666666666666,1,0,1,0.625,5.75,1.59,65.0,65.0,0.772,0.474
25299,0.0333333333333333,1,1,17,30.142857142857142,4.5,3.23,88.0,81.0,1.85,2.047
20801,0.0454545454545454,0,7,1,1.0,1.0,3.23,88.0,81.0,1.85,2.047
38157,0.0625,1,1,0,0.4791666666666666,12.75,1.59,65.0,65.0,0.772,0.474
6893,0.0454545454545454,1,4,2,4.452991452991452,11.666666666666666,4.8,99.0,88.0,2.033,2.883
22009,0.2,1,3,0,0.25,6.0,1.35,60.0,60.0,0.716,0.274
