Source,Target
9565,1595
29708,9570
29708,9574
29711,6685
29712,5383
50500,44567
50502,28020
50503,19971
50505,1775
50505,9571
50505,9576
50506,3124
50506,6220
50508,9570
50508,9574
50508,29708
51303,9576
51304,6685
51304,9574
51304,17055
51304,29711
61955,6211
61957,29710
61960,29710
73228,29708
73231,8236
73231,80264
73231,80266
73231,80277
73233,6685
73233,29710
73233,47079
73234,44222
73234,59329
73236,19967
73236,40218
73236,50500
73237,29709
73237,29711
73237,59102
73237,80258
80255,34622
80258,9574
80258,51302
80277,30008
80277,50508
80279,6220
80279,34620
80279,44570
80279,44572
80280,6215
80280,6220
84581,9571
84581,29707
84581,47075
84581,50506
84581,51302
84583,34621
84584,50507
84584,51305
97435,9574
97436,9567
97436,9574
97436,80258
97438,36811
97438,80258
97439,6685
97439,44567
97439,44568
97439,61958
97440,17055
97440,102488
97440,133569
97444,50506
97446,50506
97451,40223
97451,40224
97451,62739
97453,9572
97453,17055
97453,50500
97453,51304
97454,28023
97454,40215
97456,932
97456,6220
100907,73234
106257,25652
106257,32575
106257,44572
106257,48421
106257,50503
106257,59387
106259,44571
113899,19967
113899,34617
113899,50500
113899,59317
113899,97448
128399,61959
129797,2025
129797,9571
129797,9573
129797,20841
129797,34624
129797,44569
129797,59378
130868,29710
130868,50503
130868,51300
130868,51304
130871,61959
142817,9574
142817,29711
142817,59102
142817,61958
142817,73237
142817,97439
142820,59102
142820,73049
142820,73237
142820,142818
142824,9576
142824,51303
144318,97447
144319,51300
144319,51304
144319,130868
144321,28021
144321,50507
144321,51305
144321,70627
144321,84584
144321,139309
144323,50500
144323,61955
144325,336
144325,34619
144325,97442
178500,179119
178501,157865
178502,29709
178502,51305
178502,100904
178502,137481
178503,97448
178504,6221
178504,72113
178504,106245
179125,59311
179125,73237
179125,97435
179140,6211
179140,9572
179140,17055
179140,44567
179140,50500
179140,51016
179140,51299
179140,54691
179140,59386
179140,61955
179140,71852
179140,71853
179140,84607
179140,84610
179140,94911
179140,157865
179141,61958
179141,97439
179141,106259
179142,1772
179142,29712
183718,112796
183718,157859
183719,29709
183719,106246
183724,6220
183724,9565
183724,9571
183724,9573
183724,34622
183724,34624
183724,44572
183724,50504
183724,61958
183724,73228
183724,139123
183724,152920
183724,157854
183726,142824
183731,50500
183731,71853
183731,157963
183731,179133
183733,61958
183733,97439
183734,94912
183734,157856
183735,6215
183735,34624
183735,61960
183735,80280
183735,97456
183735,106247
183736,3085
183736,18675
183736,29709
183736,44224
183736,44571
183736,44572
183736,47078
183736,59387
183736,61958
183737,44224
183737,50506
190272,132471
190275,34621
190278,89279
190278,366800
190282,59327
190282,97456
190282,106247
190285,6220
190285,72100
190285,97446
190285,97456
190285,106245
190285,912163
190288,106245
205252,97451
205252,106244
205252,210629
205253,51299
205253,132479
205253,132481
205254,29710
205254,164841
205255,9572
205255,17055
205255,50500
205255,51016
205255,51299
205255,71853
205255,84607
205257,29709
205257,44569
205257,80258
205257,92676
205257,92677
205257,94907
205257,94912
205257,97448
205257,144319
205257,157850
205257,183734
205259,97456
210628,50507
210628,70627
210628,100904
210629,44567
210629,47079
210629,51304
210629,61955
210629,97451
210630,6685
210630,50502
210630,73049
210632,44224
210632,44572
210632,80280
210632,106259
211503,248889
211507,248887
211507,248906
220404,80266
220404,142815
220406,51016
220406,51299
220406,71852
220406,132481
220406,157865
220409,44572
220409,84583
220409,157854
220409,183721
220410,183731
220410,190272
220410,205254
220411,142822
220411,178500
224714,173381
224714,186910
224714,452790
224716,156429
224716,175722
224716,175723
224718,452791
224720,442700
224720,452791
224720,452798
225874,84137
225874,375017
227365,183718
227368,59387
227368,106244
227368,157856
227370,51305
227374,59314
227374,107979
227374,190518
227717,442676
227718,443004
227719,208383
229332,131826
229334,97076
229335,74371
230401,442663
230401,442704
231382,442853
231382,443064
231387,158200
231387,169921
233140,59382
233140,61960
